,0
0,110440.49171938605
1,171303.81954675
2,170566.52843380926
3,197693.6402375909
4,228222.70460793033
5,170631.6579177872
6,188610.1135500439
7,158025.1998829695
8,197843.99677423228
9,117514.88085609433
10,178932.71193722344
11,84486.84029313567
12,76973.10300669054
13,152964.0463842715
14,105296.13593876518
15,357908.10579657834
16,272757.79322287755
17,310686.51219623716
18,299196.08369229204
19,416022.33562860417
20,306188.9910430477
21,226030.17533706766
22,177688.2464139903
23,164980.2477823936
24,197992.23724041317
25,203806.16420032052
26,327729.39320731413
27,236776.5370943567
28,210748.4188108737
29,237975.0957276015
30,199918.7011861094
31,109394.72857583003
32,200540.98404426244
33,307460.7220102919
34,308190.0594908671
35,226933.7033833925
36,176290.83462160942
37,151332.4427753611
38,172992.71910534007
39,166971.98673542385
40,175779.3252777395
41,150131.71262122036
42,275999.2320099798
43,245638.69710690522
44,230918.48818056082
45,202287.14870408404
46,248549.79801875554
47,198185.33271657015
48,161265.5341372116
49,147557.76319451924
50,146807.48313182016
51,183106.9090995509
52,148012.91289527217
53,148932.31532554736
54,203319.93853076655
55,153847.14904101603
56,162316.28614913143
57,116154.39423853063
58,210073.2015992676
59,130665.92209702088
60,126398.02264603272
61,182405.10508120374
62,101574.99115847028
63,111989.7407070098
64,110227.76240769515
65,92745.50661843322
66,100888.15728764528
67,141032.7051574936
68,134798.96211793873
69,203872.8212224122
70,142128.4703414447
71,100651.39333393297
72,156137.23327035736
73,122464.13999831193
74,153426.24384610925
75,100545.7326145988
76,50594.31759366262
77,181401.5190373783
78,221664.7437185887
79,119182.08600749928
80,127633.78320361495
81,131570.54044514074
82,180968.98447978921
83,91827.76010489154
84,131566.95277340538
85,141968.2110395972
86,134570.7761421482
87,143997.2337868603
88,126565.25605091307
89,137821.75989531237
90,119475.88693605972
91,158658.41661353622
92,163855.11308231397
93,127575.51119007301
94,170193.0402463233
95,118238.0990186372
96,103725.88954735438
97,99825.34485762625
98,88471.28875164155
99,135611.68629925887
100,122001.37802839186
101,125282.07297994239
102,120172.55577974512
103,153042.94233050657
104,140283.80213200234
105,247190.3053093733
106,68096.02751015886
107,244906.24809479198
108,109977.89507488892
109,139191.7186485479
110,108490.5312012057
111,131459.4024173309
112,224165.43287281846
113,116131.10778139443
114,238133.11331960105
115,261071.1577974956
116,184111.77020726883
117,162543.97289350384
118,138906.62237059668
119,190518.89729776018
120,162749.21387132548
121,132959.1203714144
122,290203.7351283431
123,232478.9098850701
124,155058.00357923209
125,36058.545658359915
126,100040.97574329199
127,152163.11656982676
128,108665.82217167367
129,118902.97394392677
130,88978.30013645465
131,94590.0383629244
132,136224.53399690095
133,143565.93127500184
134,117388.53811074345
135,230203.46931810607
136,189809.69554088038
137,204196.43121659258
138,183148.15178792313
139,170265.35137832395
140,37431.09952670836
141,118039.52364827391
142,58274.01012430235
143,249632.67641342993
144,237687.26279165797
145,174362.87195192507
146,154352.06832720712
147,224100.28140798718
148,218022.84908441827
149,162279.1534605797
150,144723.83489858426
151,153307.52997990197
152,152239.11311356525
153,127384.26983286525
154,72236.59340896868
155,40685.97186140841
156,62057.39933003622
157,106792.34844990358
158,153014.24547173383
159,167930.59792843944
160,124160.36130544732
161,139630.67308961475
162,256582.80866738324
163,209127.88643212995
164,107629.08612854693
165,174560.91825972946
166,185259.89669693905
167,263067.2436622877
168,179874.4887706395
169,334177.18186763185
170,217325.47689608438
171,251912.09331161555
172,183410.39490181135
173,187873.5287698039
174,182204.1322383248
175,157722.38522081543
176,198276.0067089435
177,213944.4907665401
178,192828.343351762
179,255841.57163634594
180,186438.26788022026
181,248371.65949782383
182,232769.19862501445
183,233735.08570487244
184,245880.04403175862
185,179298.01374743073
186,162700.86821537503
187,116922.52742412087
188,126814.9304939539
189,115713.6261209686
190,107960.86072074232
191,88505.06428951862
192,92981.63962216617
193,134170.28708289826
194,135944.49673884996
195,133120.61128416617
196,137797.33887588233
197,136414.0597876879
198,111777.27897363732
199,150318.32041012443
200,406254.0074360987
201,372988.63472205267
202,354777.1428429269
203,445047.7705759468
204,312271.3464102411
205,318571.0161793854
206,353938.9877701354
207,341961.00861577265
208,309624.0445304257
209,344173.40752057376
210,289372.45555317355
211,386145.7442087298
212,301468.52186077286
213,259789.80615266296
214,216949.4526573059
215,231523.71842129395
216,237307.586345112
217,418753.0839033303
218,350280.0669649454
219,330887.4371703983
220,277170.88970952027
221,308532.5852949262
222,216522.23865021547
223,194720.15293462548
224,178346.02986356788
225,166919.6281239723
226,177271.35843057782
227,196036.32863767655
228,200615.94906226345
229,207575.69895280464
230,197746.1720373873
231,249468.13940606796
232,182433.7149641221
233,178660.3655077274
234,170881.94453373982
235,281175.22211261035
236,172877.83916766522
237,350227.9342793437
238,329533.65129132493
239,285208.3654946515
240,296481.09095030365
241,239642.80404074423
242,245583.75373485332
243,264104.05903307785
244,233155.8349077807
245,380751.3508841795
246,213290.78784863444
247,212309.33328163344
248,243268.3310797189
249,215751.3733709645
250,264593.2012671769
251,264291.1616376379
252,276668.74078430724
253,226230.4580289563
254,210778.5574013411
255,180946.21852849613
256,183598.50434796143
257,130760.08246296576
258,208097.70558199126
259,227532.5046866599
260,167330.41503905563
261,114187.66072431732
262,152882.9594318549
263,220701.53229079104
264,244511.89638229963
265,193103.80682088682
266,150924.31283708013
267,185507.00345424857
268,169935.4076873743
269,171704.36099507625
270,118450.87906615822
271,106977.95073248145
272,102659.25978214695
273,100148.22845132004
274,128220.54145011904
275,96774.57603692134
276,318522.0672256653
277,285346.0278296974
278,269754.47132028977
279,211666.4998991767
280,187485.26331002987
281,170721.01491779645
282,188142.73878972448
283,308976.8834680068
284,228911.14994880048
285,233445.9417369939
286,245053.18884724233
287,242126.36995065777
288,153645.20223924052
289,138146.4659371522
290,254375.71595054344
291,109929.71762586116
292,148996.91768149895
293,212060.26691298824
294,167280.21352234567
295,133197.60066494462
296,111350.77946520333
297,146309.96190106773
298,162153.81977064227
299,166608.48418828857
300,150754.78965241354
301,170888.50803533208
302,181134.14702019095
303,109773.37638736241
304,173356.51454992007
305,201592.61809354668
306,222913.87346731953
307,149700.29270584742
308,162704.7769304113
309,166222.4700512002
310,113181.81913264307
311,138630.9944607758
312,120858.0390626793
313,137078.81579716146
314,154352.1922573851
315,138755.21676932444
316,102403.7520061631
317,158211.93552235435
318,121119.88738982617
319,162437.6564868922
320,121395.77596186228
321,58609.433846679545
322,138090.957573865
323,102358.40516577956
324,133473.9816054367
325,143975.91794370033
326,162792.18385538214
327,34398.28556348308
328,109516.16554283493
329,54541.8875619586
330,180014.63579590965
331,154740.03491367726
332,124183.61624157107
333,178102.14221136342
334,131951.7811676656
335,138328.37351024518
336,121672.04393730249
337,116462.16427715248
338,109523.27707748835
339,112584.35685139993
340,102839.94311345802
341,126396.96762146795
342,152377.64227106917
343,140159.8801100533
344,147483.7470806131
345,144213.44356011727
346,174586.42981761406
347,140345.5241561898
348,127662.76193404372
349,144484.96699346375
350,57709.76290276169
351,109808.90499927902
352,123538.57991716737
353,84108.26778174446
354,39785.92684673722
355,107429.6224434976
356,125538.16171804052
357,170199.5363891788
358,144677.2765005753
359,59416.30391674457
360,117091.7499134289
361,154543.9590325793
362,36374.05739238573
363,144011.29344946292
364,142598.52967835357
365,101218.23447224265
366,91661.48856071409
367,143100.83538753164
368,150275.16162956832
369,151722.61853967851
370,155954.16587489695
371,106777.66683448455
372,147318.98766467778
373,111588.62807777889
374,111904.05592162577
375,125978.49016087769
376,90042.28179421974
377,101426.3957899145
378,82046.1253127098
379,136824.99790435165
380,124025.81623896082
381,96498.32245701054
382,121452.83864591764
383,128630.21922476824
384,143655.74795107712
385,142675.41120772896
386,184812.40622120578
387,12578.718894432299
388,127230.90587156932
389,117527.28270557962
390,152246.84916794492
391,122613.3417980238
392,116334.14375084553
393,166231.41112263352
394,148628.68481365376
395,236582.9472754922
396,153472.68349934637
397,143162.05919364418
398,119742.34927351096
399,160752.8120945987
400,118721.99661554613
401,280897.5981451137
402,270568.74169348454
403,270578.2633529112
404,326582.64468208654
405,294463.1684207809
406,219167.3238753859
407,268098.32712837134
408,214926.53436809342
409,225173.37904677
410,225326.23628335318
411,177124.66488149975
412,252090.45167780673
413,154625.99689129452
414,198302.48011743173
415,198344.98527623076
