iter	Passed	Remaining
0	9	9420
1	16	8323
2	23	7960
3	31	7768
4	38	7693
5	46	7623
6	53	7541
7	60	7486
8	67	7441
9	74	7401
10	81	7361
11	89	7344
12	96	7314
13	103	7289
14	110	7270
15	118	7259
16	125	7239
17	132	7224
18	139	7213
19	146	7202
20	154	7188
21	161	7174
22	168	7161
23	177	7235
24	186	7289
25	199	7459
26	206	7444
27	215	7486
28	224	7533
29	232	7533
30	240	7520
31	247	7497
32	255	7478
33	262	7458
34	269	7434
35	276	7416
36	284	7400
37	291	7384
38	298	7366
39	306	7349
40	313	7334
41	320	7316
42	328	7300
43	335	7285
44	342	7269
45	349	7253
46	357	7240
47	364	7228
48	375	7279
49	385	7317
50	395	7367
51	403	7353
52	414	7403
53	428	7502
54	440	7575
55	448	7557
56	456	7556
57	465	7560
58	473	7549
59	480	7531
60	488	7513
61	495	7496
62	502	7476
63	510	7460
64	517	7442
65	524	7425
66	532	7415
67	539	7398
68	547	7382
69	554	7363
70	561	7348
71	568	7331
72	582	7398
73	597	7481
74	607	7492
75	615	7482
76	622	7467
77	630	7450
78	637	7432
79	644	7415
80	652	7398
81	659	7383
82	666	7366
83	674	7349
84	681	7332
85	688	7315
86	695	7299
87	702	7282
88	710	7267
89	717	7252
90	724	7238
91	731	7223
92	739	7209
93	746	7194
94	753	7180
95	760	7165
96	768	7151
97	775	7136
98	787	7165
99	796	7169
100	806	7177
101	817	7194
102	825	7187
103	832	7173
104	839	7159
105	847	7144
106	854	7130
107	861	7115
108	868	7102
109	876	7088
110	883	7074
111	890	7059
112	897	7046
113	904	7032
114	912	7018
115	919	7005
116	926	6993
117	933	6980
118	941	6966
119	948	6954
120	955	6941
121	962	6929
122	970	6916
123	977	6905
124	986	6906
125	998	6928
126	1008	6932
127	1019	6942
128	1027	6939
129	1036	6933
130	1043	6923
131	1050	6909
132	1057	6896
133	1065	6884
134	1072	6871
135	1079	6859
136	1086	6845
137	1094	6833
138	1101	6821
139	1108	6809
140	1115	6796
141	1122	6784
142	1130	6773
143	1137	6761
144	1144	6749
145	1151	6737
146	1159	6725
147	1166	6713
148	1173	6701
149	1180	6691
150	1192	6707
151	1205	6723
152	1215	6729
153	1225	6730
154	1233	6723
155	1240	6713
156	1247	6700
157	1255	6688
158	1262	6676
159	1269	6664
160	1276	6653
161	1283	6641
162	1291	6629
163	1298	6618
164	1305	6606
165	1312	6594
166	1319	6582
167	1326	6571
168	1334	6560
169	1341	6548
170	1348	6537
171	1355	6526
172	1363	6516
173	1370	6505
174	1377	6494
175	1384	6483
176	1393	6478
177	1403	6479
178	1412	6480
179	1423	6483
180	1431	6475
181	1438	6464
182	1445	6453
183	1452	6443
184	1460	6432
185	1467	6421
186	1474	6409
187	1481	6398
188	1488	6387
189	1495	6377
190	1506	6379
191	1513	6368
192	1520	6357
193	1527	6346
194	1534	6335
195	1542	6325
196	1549	6314
197	1556	6303
198	1563	6293
199	1570	6282
200	1577	6271
201	1584	6260
202	1595	6265
203	1605	6265
204	1614	6262
205	1622	6255
206	1630	6245
207	1637	6234
208	1644	6224
209	1651	6214
210	1659	6203
211	1666	6193
212	1673	6183
213	1680	6173
214	1688	6164
215	1695	6154
216	1702	6144
217	1710	6134
218	1717	6124
219	1724	6114
220	1731	6104
221	1739	6094
222	1746	6084
223	1753	6074
224	1760	6065
225	1767	6054
226	1775	6044
227	1782	6034
228	1789	6024
229	1799	6023
230	1810	6025
231	1817	6016
232	1827	6014
233	1834	6006
234	1842	5998
235	1849	5988
236	1856	5977
237	1863	5967
238	1871	5958
239	1878	5948
240	1885	5938
241	1892	5928
242	1900	5918
243	1907	5909
244	1914	5899
245	1921	5890
246	1929	5880
247	1936	5871
248	1943	5861
249	1950	5851
250	1957	5842
251	1965	5833
252	1972	5823
253	1979	5814
254	1986	5804
255	1994	5795
256	2006	5800
257	2016	5799
258	2023	5789
259	2030	5780
260	2041	5780
261	2049	5772
262	2056	5763
263	2063	5754
264	2071	5744
265	2078	5735
266	2085	5726
267	2093	5716
268	2100	5707
269	2107	5698
270	2114	5689
271	2122	5679
272	2129	5670
273	2136	5661
274	2143	5651
275	2150	5642
276	2158	5633
277	2165	5623
278	2172	5614
279	2180	5605
280	2187	5597
281	2195	5588
282	2204	5584
283	2214	5581
284	2224	5581
285	2234	5579
286	2243	5572
287	2250	5564
288	2257	5555
289	2265	5546
290	2272	5537
291	2279	5527
292	2286	5518
293	2294	5509
294	2301	5499
295	2308	5490
296	2315	5481
297	2322	5472
298	2330	5462
299	2337	5453
300	2345	5446
301	2353	5438
302	2361	5432
303	2369	5423
304	2377	5417
305	2384	5408
306	2393	5402
307	2401	5395
308	2411	5393
309	2421	5388
310	2431	5386
311	2440	5380
312	2450	5378
313	2458	5371
314	2466	5363
315	2473	5354
316	2486	5357
317	2496	5354
318	2504	5345
319	2512	5339
320	2520	5331
321	2528	5323
322	2536	5315
323	2544	5308
324	2551	5300
325	2559	5292
326	2567	5284
327	2576	5278
328	2583	5269
329	2592	5262
330	2601	5258
331	2611	5255
332	2623	5255
333	2632	5248
334	2640	5241
335	2648	5233
336	2662	5237
337	2672	5235
338	2681	5227
339	2689	5220
340	2696	5211
341	2704	5204
342	2712	5195
343	2720	5187
344	2727	5179
345	2736	5172
346	2744	5164
347	2752	5156
348	2760	5148
349	2768	5140
350	2775	5132
351	2783	5124
352	2791	5116
353	2802	5113
354	2809	5104
355	2818	5097
356	2834	5105
357	2847	5106
358	2858	5103
359	2866	5095
360	2873	5086
361	2881	5078
362	2889	5070
363	2897	5062
364	2904	5053
365	2912	5045
366	2920	5037
367	2927	5028
368	2935	5020
369	2943	5011
370	2951	5004
371	2959	4995
372	2967	4987
373	2974	4979
374	2982	4971
